,commentBody
14,"""This is a function of the beliefs, assumptions and capabilities of the people who do the coding. A.I. learns by repetition and association, and all of that is based on the information we ? humans who hold all the racial and often, specifically, anti-black biases of our society ? feed it.""

The lays the bias and prejudice of these systems at the feet of ""coders"" and presumes that more skillful programming can resolve the problems. But the issue is far more insidious than that. 

The data the AI system learns from comes from the reported experiences of police officers with the population they serve. So no matter how well programmed the system is, it will reflect biases, perceptions, experiences of those who generated the data. 

Another subtle effect which no one talks about is the purchasing process itself. How will the police department judge if the system is well designed and effective? By subjecting the system results to comparison to existing results which are generated by the same people it's supposed to assist?

Machine learning is a freakishly powerful tool for duplicating the patterns of human decision making only. Furthermore, the technology puts a patina of objectivity, precision, and inerrancy on  machine judgments that don't deserve it.

In a situation like policing that relies on human judgement, all machine learning does is make the same flawed life, death, and liberty decisions faster, more efficient, and far more inscrutable. "
15,"I have heard of Bayesian statistical methods for identifying spam in Mozilla's Seamonkey and Thunderbird email programs, which work by the user selecting which mails are spam and letting the program figure out what the characteristics of a spam message are. There presumably is no preconception of what a spam message is, only the traits that are collected in the ""training"" file as the user marks mail as spam or not-spam. This would seem to be a more fair way to analyze criminal vs noncriminal activity except for the fact that some parts of town receive more policing than others, and officers are known to use approaches that turn innocuous situations into hostile ones in which a crime may be provoked. If the same statistical methods could be used to identify bad cops who provoke situations and display a pattern of prejudice in their actions, and that bad-cop pattern could be used for terminations, Bayesian statistical methods might make policing more fair."
16,"As the writer states, These new A.I. capabilities process data, existing data, that we know are biased or skewed. The tools produce models that could help, but where is the oversight on how these models are produced? Where is there human input to correct biases in the data due to heaver policing and greater prosecution rates for minorities? Otherwise we continue to propagate prejudice."
17,"How does police enforcement action skew data on crimes like homicide, robbery, grand larceny and burglary? All these crimes require complainants and victims unlike drug offenses where a police officer is usually the complaining witness. Are the police being too aggressive in enforcing the murder laws in some communities thereby tainting the data?"
18,"I would posit that AI, as the author describes it, is faithfully perpetuating the main purpose of most police forces, namely keeping the black community disenfranchised and disempowered so that the white community feels safe.  How else can we explain the broad expectation in white American society that black citizens should have so much less than white citizens, suffer so much more invasion, incarceration, and incapacitation and yet be complacent about it and not seek redress through other than peaceful means.  The white community's response when feeling aggrieved is to act out of hatred and elect a President Trump to tear it all down.  Knowing this, the white community acts to keep a lid on the black community by means of the police state."
19,"I refer you to Karl Menninger's ""The Crime of Punishment.""  Punitive justice systems just don't work."
20,"We saw Congresswoman Karen Bass, a California Democrat, press Jefferson Beauregard Sessions, III, our present, Russian connected Attorney General about a recent FBI report that described ?Black Identity Extremists? as a possible terrorist threat to the United States and domestic law enforcement agencies.

The term ?Black Identity Extremists? seems to have been invented by the FBI for that report, along with the fact that the FBI itself has a well-documented, historical proclivity for fomenting discord in black communities and for creating racially-biased strategies and narratives against African-Americans, e.g., Dr. Martin Luther King, Jr. and the Black Panthers. 

Ms. Williams is correct in her concerns. The white led propaganda apparatus must end and be neutralized in order to achieve a more perfect union between our citizenry. "
21,"I came to the comments section to ask about the inclusion of moon phases in prediction software, which strikes me as very interesting. But the number of trolls in the comments is sickeningly astounding. Those of you implying (or flat out stating) that the author is a bad parent for being black and living in a predominantly black city, you disgust me. It must be lovely to be so in denial of the effects of historical discrimination on African-American communities and the results of bias in policing and sentencing that your mind is literally unable to process the basic premise of this article. Here is a re-statement: although data suggests white and black Americans commit crimes at the same rates, blacks are historically policed and jailed at higher rates and for longer, harsher sentences. Therefore using historical data to inform policing replicates those problems. This is clearly problematic. Go scream about black-on-black crime somewhere else (or, preferably, don't. No one is in favor of street crime, but most people understand that being killed by a mugger is categorically different than being killed by a policeman who is legally bound to protect you)."
22,"Come on.  Give me a break.  Blacks account for 50% of all homicides.  Does racism cause blacks to kill each other in disproportionate numbers?  I suppose AI also unjustly profiles males compared to females.

First the complaint is that the police are biased.  When statistical techniques don't seem to reduce the alleged bias, then the statistical techniques must be criticized.  It's worth quoting Denzel Washington's response to a question about the state of Black America:

?Well, it starts in the home. If the father is not in the home, the boy will find a father in the streets. I saw it in my generation and every generation before me and every one since.? He added, ?If the streets raise you, then the judge becomes your mother and prison becomes your home.?"
23,Number Five Alive?
24,"Racial ""profiling"" exists because blacks are disproportionately more likely to be criminals as well as crime victims.

It's as simple as that."
25,"As a builder of buildings, President Trump is a realist.  He knows that the Palestinians aren't serious about negotiating a peace beginning from a time 70 years ago when they and several Arab nations turned down their own state and tried to destroy Israel.

Thanks to the 1967 attempt of Egypt, Syria and Jordan to destroy Israel during the Six-Day War, Israel was able to reunify Jerusalem.  

When Israel unilaterally pulled out of Gaza in 2006, the Palestinians elected a terrorist organization (according to US, Israel and the EU), Hamas, to lead them.  A Palestinian civil war ensued with many Palestinian deaths.  Instead of building up a democracy, Hamas chose to initiate several wars with Israel by launching missiles into Israel.  So many missiles, that Israel had to create the ""Iron Dome"" anti-missile system to protect civilians.

If the Palestinians really want peace, the need to have the new democratic elections that they should have had in 2010, 4 years after the 2006 elections.  They need to elect a parliament and a President that after 70 years is realistic and really wants to serve its population by negotiating a realistic peace agreement.

Israel now joins the all the other nations of the world in having its capital, a capital first created 3,000 years ago, recognized by the United States of America.

Thank you President Trump."
26,"I think that unrest/violence/war are great distractions when you, your Administration and your family are hurling towards ruin. "
27,"Trump is wrong again. King David (1000 BC) was the first to rule Judea from Jerusalem. When his son King Solomon died, the kingdom split creating Israel to the north and Judea to the south.  Jerusalem remained the capitol of Judea and the capitol of Israel was Samaria. 	"
28,"Here is the reality check and it's an ugly one. It does not matter what Trump or anyone else does in regards to this issue. Sadly, there will never be a negotiated peace between Israel and Palestine. Both believe their respective ownership rights are rooted in religious doctrine and when it comes to religious ideas, very few concessions are made.  That?s why, as ugly as it sounds, there will most likely never be peace. Palestine is too weak, Muslim world is too divided, Israel thanks to United States is strong and empowered. Does anyone honestly think that lands for which people have died for, shed blood for can be returned at the negotiation table? Mothers lost sons and daughters for these lands, no one will ever return it for ?peace?. You want to take territory, you have to fight for it, that?s it. Palestine is too weak to do that so this ?peace? charade will continue. Ten, twenty years from now, players will change, new parties, presidents, will take over. The game though? That will stay the same.  In the end just regular folks suffer. Palestinian children with no future, Israeli citizens who endure random attacks and the innocents around the world at the mercy of various terrorist organizations who use this issue as the main recruiting point. God help us all. "
29,"Why is it assumed that peace is the goal? It seems clear that the actual intent is to stir the pot and increase turbulence in the region. 

Any protests are likely to quickly fizzle, or be used as a pretext to further destabilize the region. Perhaps Israel will attack Lebanon, or the Saudis will expand their activities.  "
30,"Whether President Trump's decision will usher in peace,lasting or ephemeral is a subject matter of a lot of permutation,combination.
Predicting,a million $ win in Roulette/Baccarat in Las Vegas is easy as compared to the mindless religion/sectarian driven politics of Middle East.
However,the President has honoured the 1995 congressional decision to shift the Embassy to Jerusalem.It reaffirms his faith in his people & their wishes.
From Moses to Maimonides to Trump,the history of Israel will have an name added to its beleaguered but chequered history:Donald John Trump.
Already,the main thoroughfare is going to be named after him,with his bronze bust at the entrance of the thoroughfare.Immortal in the hearts of the Israeli's.
His decision,is an divine intervention,an act of YHWH."
31,"   Trump is a dangerous hypocrite, unhinged, with malicious intent to cause harm and confusion. How long can such a beast be allowed to abuse the power of the presidency is anyone's guess, but the longer his misrule is allowed, the less credible will the United States be in it's assertions of seeking peace in society, national and internationally. But then again, previous secretaries of state said the obvious, that the U.S. has no friends, just interests. A sad appraisal of human relations, 'rotten' tribal feelings of trust and support towards each other. How low can we go, given we are in the toilet already? Are we going to ignore the Palestinians, as we have the Rohingya, the Yemenis and other forgotten victims of our warmongering...and 'interests'?"
32,What IQ45 knows about the anything can fit on the head of a pin.  His hubris is like nothing I've ever seen.  What he doesn't know could fill the universe to infinity.
33,"I just don't get it.  There are hundreds of things we could focus on in the US, why is Trump focusing on Israel?  "
34,"The combined report of six very perceptive journalists spells out a rather complicated future for all three countries involved.  However, the photograph by Atef Safad showing a heavily armed Israeli police force in the Old City and the photo by Mohammed Salem of a more reserved Palestinian demonstration burning an American flag really tells the story.

As ill-advised as Trump?s play may seem and the exchange may be non-existent, there seems to be very little of a gamble at stake. 

Violent repercussions by the Arab states will probably be nothing more than invectives but a long-lasting hatred for America is a certainty. 

The photograph of the flag-burning is an image that always amazes: It shows a young man dressed in the latest fashion styles established by young Americans?designer cap (turned backwards), slim jeans and very slick hoodie and vest (probably all made in China).

The hip-hop generation protested America but never hated America.  How deep can a hatred go when you want to look like the people you think you hate?"
35,"How sad....
We have so lowered our standards and expectations. We are so concerned with the reaction on the streets of Ramallah that we will not concede the painfully obvious. Why are the Palestinians so angry? Is ANYONE suggesting that their claim to East Jerusalem is up for discussion? The street is angry because of recognition of WEST Jerusalem. With the exception of the extreme radical left, there is nobody even remotely suggesting that West Jerusalem is up for negotiation. With the exception of the extreme right, nobody (not even Netanyahu) is suggesting that East Jerusalem will be annexed. This statement causes no real change in the status quo. THAT is the problem- nothing will placate the Palestinians until the entire state (sans Jews) is theirs. East Jerusalem, West Jerusalem, Haifa, Beer Sheva and Tel Aviv.  Kineret sea to the Mediterranean sea. The whole kit and kaboodle.
Trump may be a boor and an idiot, but he does see through the political rhetoric because he could care less about niceties and correctness. This recognition has ALWAYS been obvious and the right thing to do- Trump is the first president who could care less about the fallout."
36,"How can anybody tell when the Middle East is ""on edge""?  Aren't they always?"
37,"I remember how upset the whole world was when the Jordanians controlled all of the Old City of Jerusalem from 1948 to 1967, and Jews were prohibited from entering and praying there.  Oh, wait, ...  [crickets]"
38,"Let's hope that America builds its beautiful new embassy in the E-1 District of united Jewish Jerusalem, where there will be plenty of undeveloped land for other embassies from around the globe, including perhaps the Saudi Arabian Embassy. If the Jordanians make a fuss, Israel should cut off their water and transfer custodianship of al Aqsa to Riyadh."
39,"This might be ""telling it like it is"" to Palestinians, but it is also punching down from the Bully-In-Chief. Obviously, he views them: scattered, divided, forced off their farms by settlers, living in squalid camps or ghettos, as ""losers"" (and we all know how he treats losers.) Rather than negotiate, dictate.
I don't think anyone is going to ""get over it."" How do you negotiate when the most radical on both sides of the issue refuse the existence of the other? All the Israelis can hope for is a large population of second-class citizens they can't fully trust; with this move from the US, all the Palestinians can hope for is continued harassment, ethnic cleansing, or apartheid.
All Trump is doing is removing hope for the Palestinians; and a people without hope is a sad and dangerous thing."
40,"Trump will support a two-state solution ""if agreed to by both sides."" But the only two-state solution Israel will accept would have to include its annexation of East Jerusalem and the territory on which it has planted illegal settlements. The Palestinians would be left with scraps of land, and of course their sovereignty over even this would be compromised because of Israeli ""security concerns.""

Such a plan, which amounts to creating a Palestinian Bantustan, would of course be acceptable to the Israelis, to American Zionists, and to Trump -- who after all admires Andrew Jackson, the president who dealt with the Indians in basically the same way he (Trump) wants to deal with the Palestinians. The Palestinians will never accept such a plan, of course, but it's being implemented on the ground in any case. This is unjust, and the people responsible, in Israel and the United States, will one day pay a price for their actions.   "
41,"RE: ?There is a push to redraw the boundaries of Jerusalem to eject much of its Arab population and add tens of thousands of residents to Israeli settlements.?

It?s important to point out that?s exactly what happened in 1947 and 1949, except that it happened to the (majority) Jewish population. 

In 1947, the U.N. proposed having the borders of  the Jewish capital redrawn, taken out of the hands of, the about to be re-established, state of Israel, and turned into an internationally administered city, with open access to all holy sites by members of all religions. Israel agreed to this in exchange for their right to re-establish their nation in their homeland. The Arabs disagreed as this would allow the Jews to remain in Jerusalem.

In 1949, Jordan occupied Jerusalem and exiled all of the Jews from their capital. During the previous quarter century, 500,000 Arabs from neighboring countries immigrated to ?Jewish Palestine ? Land of Israel?, while the Jews  were severely limited in their ability to return to their homeland. During the 19 year occupation of Jerusalem, Judea & Samaria, Jews were denied access to their holy sites. It was only after the re-unification of the Jerusalem that Jews were able to return to their capital. It was only after control Jerusalem, was returned to Israel, were all religions granted free access to all the holy sites.

Even if it can be justified, it?s unlikely #Israel will do to Arabs what the Arabs did to the Jews."
42,"Trump makes decisions to attract attention to himself and to enlarge his ego, that is how a pathological narcissist deals with the world. The consequences couldn't be more damaging. US foreign policy is being reduced to a stage for Trump's pompous, vacuous, vain ego to tell the World ""Look at me, I am important."" Writing his enormous signature and displaying it for the news was the greatest thrill Trump, the monstrous egotist, got out of moving the embassy to Jerusalem. This seemingly trivial fact is almost too horrific to be true, but it is. If Heinrich Himmler was a prime example of the banality of evil, Trump is the paragon of the banality of childish egotism. This is far worse than it sounds - Evil Himmler didn't have nukes, Immoral Trump does."
43,Moving the embassy there ensures American retaliation on any missile attack on it by Hezbollah on Jerusalem. Not so smart Mr. Trump.
44,"Nothing that Trump does has anything to do with stated reason. It's all about himself and his maniacal self-promotion. The man's a sociopath. Anybody who takes the bait and believes that this is about the ""historic capital of the Jewish people"" is a complete rube. This is about shoring up Trump's base and that's it. 

Trump is doing that under conditions of duress. The observation by Republican political advisor, Alex Castellanos, that ""we're closer to impeachment now than we think"" is not without merit. Castellanos feels that the combination of the Mueller investigation and the prospective election of Roy Moore next week will create a collective albatross that will cost the GOP control of the House and the Senate in 2018. 

Political figures are almost always the potential butt of jokes and caricatures but the level of legitimate acrimony towards this administration expressed on late night television and other venues is both staggering and unparalleled.

Given the level of social animus that's been created I don't think that the American Constitution will provide a framework within which the conflict now raging will be successfully resolved. What then?"
45,"The ridiculous and yet tragic theatrics of announcing Jerusulam as Israels capital , deriding his predecessors for not acting and then signing the same waiver they signed , beggars belief.
Trumps act will lead to riots, death and a continuation of the Middle East Tragedy .
I find it totally inconsistent that Trump says it's right to recognize Israels historic claim to Jerusalem and totally overrides the historic rights of the 5 Nations of Native Americans in Utah.
Furthermore I find it tragic Congress, Trump are not supporting CHIP that cares for 9 million American children , yet are happy to subsidize Israel to the tune of $3.5 billion , a country that has universal health care that cares for all its children.
I lived in South Africa during the evi apartheid years ( Israel gave aid and comfort to the regime) , I see Israel sinking into the same evil ways , Netanyahu even looks like PW Botha."
46,"There was no ""United States? longstanding role as a mediator of the Israeli-Palestinian conflict"" for us to lose.   The US has been an indefatigable supporter of Israel and no more a force for peace in the region than Kim Jong Un has been for peace in the Pacific.   We have instead been a long running stage manager of the decades long Kabuki performance that pretends to be peace negotiations.  The goal of successive Israeli administrations has been to create facts-on-the-ground that prevent either one-state or two-state solutions, and that keep Palestinians in servitude.  I confess I have no specific suggestions to offer.  There is evil going on in Palestine and we the people of the US are just standing by and watching it unfold - and our gov't is complicit."
47,"This is a situation that was brought on by trump for entirely political reasons, that will cost lives. ANY lives lost or maimed should be laid at the door of the white house and the feet of trump.
There was NO REASON to do this, there is NO REASON at ALL.  "
48,"Aren't all Palestinian government offices in Ramallah?  

Isn't the Israeli Parliament, the Knesset, located in Jerusalem?  Isn't the Israeli Supreme Court in Jerusalem?

Don't those facts make it rain hollow to object to this?"
49,"I think the Arab Region is much more capable than Israel of creating a capital for the State of Palestine that is honored by all decedents of Abraham through the Arab-strength in toleration of Israel?s power games in exploiting an American minority of arrogance and prejudice.  How little any Israeli Government ?ever? offered their Middle East to earn respect for Israel, let alone for Democracy."
50,"I think humility is required when commenting on a society that's not your own, even when backed up by a good New York Times article. But I must admit that I don't understand the French obsession with stamping out headscarves. Many women around the world who are not religious zealots wear headscarves. French people who see headscarves will not turn into Moslems. They're really not that fragile, as they have repeatedly demonstrated.<br/><br/>There's a big difference between a head scarf and a burka. The face of someone wearing a head scarf is visible. She's can be a full and responsive participant in public life. With a burka, the face is obscured and the woman really can't be part of a public conversation. You can be a perfectly good doctor in a head scarf, but not in a burka. To me, the question on religious clothing is whether it intereferes with a person's ability to participate in public life. If yes, the state has a legitimate interest in regulating it, if no, it doesn't."
51,"Some religions don't play well with others. It really is that simple. That is not to overlook white French racism or colonial crimes. But there is no European country that is a nation of immigrants. These are all ethnic homelands. Eventually there is going to be open war instead of just low level conflicts like stabbings and car attacks.<br/><br/>We would not imagine that white French Christians could go to Morocco and demand that indigenous Moroccans change their society to fit the preferences of the French new comers. We saw how well that worked out. So why do we think that it would work any differently in France? It won't work. It hasn't worked.<br/><br/>Nations, religions and ethnic groups still matter. Sometimes it feels good to imagine that they don't. But they do. Like any other nation France has a right to prefer and maintain its own culture, to remain French in other words. There must be limits on immigration, *especially* from cultures who simply do not agree with separation between state and religion or which have a LONG history of conflict. "
52,"Religious dress bans may add to jihadist fervour even as Gilles Kepel contends that eroding French state secularism (laicite) could worsen Islam associated radicalization in France and Western Europe (5 Apr). The insistence on secular behaviour and non-religious dress when publicly visible in France, including leaving a Muslim (or Christian) schoolgirl?s head and face uncovered, is a double-edged sword.<br/><br/>The burqini ban meant to enforce one egalitarian standard for all girls and women could lead some ­Muslims ­to believe that it curtails a ­woman?s rights to self-expression. Beyond that, there is risk of alienating Muslims in the urban West and girding the loins of young minds to justify more acts of violence. By itself, the complete ­coverage of Muslim women is not convincingly associated with jihadist terrorist attacks. Women in the Middle East have voluntarily or under social duress worn some form of body covering for generations and ­incited no systematic violence.<br/><br/>It is far more important to study how Muslim youth are being radicalized at home and in religious schools by such bans. The imposition of culturally ­neutral lifestyles in the public domain are not going to sway young minds towards secular humanism. Coercing Muslims to eat, drink, and dress like proper Frenchmen and women could further inflame terrorist sentiment. Instead of expert opinions, lets assess more rigorous social policy research as the lives of nascent terrorists and their victims are at stake. "
53,"Look to epidemiology and public health for some thinking tools.  Host, agent, environment, vector.  Public health addresses all of these components in its efforts to contain and eradicate disease.  Think of terror as disease, at this point.    Who are the susceptibles (hosts?).  Can they be made healthier, immunized?  What is the environment?  Can it be made inhospitable to the agent or vector?    It is not helpful to say Islam is the disease.  The VAST majority of Muslims are opposed to terror and believe that Islam has nothing at all to do with terror--it is the very opposite of terror.  <br/><br/>We define the disease incorrectly when we identify Islam or ""Muslims"" as the disease agent."
54,"Many Western intellectuals argue that France's policy of ""laicism"" alienates its Muslim community and makes their youth more vulnerable to radicalism.<br/>What I do not see are the counter-arguments postulating that the persecution of Christian minorities in Islamic majority countries may be a factor in the rising fear and mistrust of Islam in the West. "
55,"I'm glad that the times at least is starting to publish more balanced takes on Islam. This is the same paper that has had countless tone deaf denunciations of the ""burkini ban"" and ""islamophobia"".<br/>This, on the day when isis once more attacks Coptic churches in Egypt, which also had been a Christian nation before being invaded by the arabs. (France and the US should take note)<br/>Liberals need to stop blaming colonialism and giving socioeconomic excuses for jihadist attacks. Do Hindus and Buddhists bomb and murder their former colonial overlords? No, the problem is clearly within Islam itself. The rise of salafism and Saudi Wahhabism in the last few decades has been the main trigger for the rise in terror. Otherwise we would see poor, young, unemployed men of all races and religions committing beheadings to lash out against their unfair lot in life. But this does not occur.<br/>Unfortunately the solution must come from a secular revivalism within Islam. I say unfortunately because I do not see this happening any time soon. Many so-called peaceful Muslims are quick to complain about islamophobia, but still support shariah law. (This is borne out by polls done by Pew.)<br/>We need to support and encourage those brave Muslims that are trying to reform their religion for good, but these are too few and too threatened."
56,"Interesting that there are so few comments. This column is clearly too balanced and fair for the rabid Left but it is so sane it is unable to froth! By all means ban religion and call yourselves tolerant. This man is right. There's a problem of survival here and we ignore it not just at western peril but to the peril of all non-radical thought and belief. The elevation of radical Islam into a victimized minority may, as it has before, bring power to the left but it will also destroy it. We are fools to host our own enemy, the enemy of pluralism so many have fought and died for. Anyone who thanks we can tolerate people who laugh at, deride and despise our foundational belief in the freedom of individual worth is delusional. This is definitely a time when ""it's not working (tolerance of the intolerable) so we need more of it"",  is western civilization suicide. No need for jihadis, we'll do ourselves in."
57,"The US starts with the view that ""all men are created equal"" and does not favor any particular religion or tradition, as an aspirational goal. That works, when backed up by law and supported by assimilation programs. This approach also works well in Canada, where Muslim (and other) immigrants assimilate relatively easily. <br/><br/>The French will continue to have problems with Muslim assimilation if ghettoes are allowed to fester. The only alternative to active assimilation is to give these stranded communities incentive to go back where they came from, which is impractical. The alternative is for France to wither like Japan, and risk becoming just a quaint travel destination with aging population and declining vitality.  "
58,"France's idea of liberty is incomplete, so it sometimes promotes subtle oppression. One example is the absurdity of its bans on ""excessive"" public religious dress. This is no reason for the rising Islamism in its midst. After all, there is no rising radical Catholisicm. More accurately: it just gives Islamic sociopaths a convenient and undeserved excuse. Focus on countering the truly oppressive ideas, not the personal wardrobe. That preserves liberty."
59,"Both Roy and Kepel have compelling points of view, however, still at the heart of the terrorist problem is religion.  You can make compelling arguments against someone?s political point of view and perhaps persuade the person to change that viewpoint, but arguing with  someone about his or her deeply held religious beliefs, which have become a large part of that person's life, is far more difficult.  The problem has not been solvable since the Crusades.<br/>When people become foreigners in their own country despite being born there due to profoundly held religious beliefs that incubate hate toward those who are not of the same faith, they become a danger to society.  I am a liberal, but have been troubled by  both radical Christians and Muslims, which in some respects are opposite sides of the same coin.  Those who practice the radical form of both faiths have similar negative views towards women, homosexuals, and those whose faith does not correspond with their own deeply held religious beliefs.  Further, the radicals in both faiths want their beliefs imposed on society as a whole through law.   Radical Christians in this country pose a danger to progressive changes in society such as woman's right to choose and gay marriage.  Radicalized Muslims pose a physical danger.  The same is true elsewhere.  There are no clear answers as to why our (mostly) young Muslim men are becoming radicalized.  None. What makes someone who once seemed to be your friend want to take your life?"
60,"I believe the Jihad is the result of the usual anger and energy of adolescent young men, heightened by perceived lack of opportunity, and national condescension, and given form and vocabulary by Safalism."
